id,generation_time_seconds,diffusion_steps
13,3.735,512
42,3.144,512
45,3.529,512
64,3.116,512
110,3.053,512
141,3.046,512
152,3.146,512
166,3.441,512
245,3.428,512
256,3.217,512
274,3.011,512
308,3.298,512
346,3.201,512
388,3.201,512
392,3.527,512
412,3.376,512
413,3.091,512
414,3.168,512
424,3.278,512
437,3.088,512
459,3.2,512
477,3.199,512
504,3.182,512
515,3.184,512
551,3.141,512
559,3.067,512
574,3.139,512
580,3.087,512
614,3.29,512
648,3.343,512
687,3.149,512
726,3.023,512
789,3.082,512
814,3.882,512
853,3.15,512
881,3.067,512
886,3.13,512
892,3.134,512
904,3.209,512
932,3.415,512
952,3.31,512
958,3.287,512
984,3.192,512
1002,2.978,512
1005,3.407,512
1064,3.884,512
1074,3.277,512
1076,3.194,512
1083,3.28,512
1121,3.274,512
1124,2.957,512
1229,3.016,512
1252,3.136,512
1261,3.432,512
1291,3.349,512
1293,4.929,512
1302,3.07,512
1327,3.346,512
1351,3.343,512
1358,2.959,512
1360,3.804,512
1369,3.208,512
1371,3.206,512
1374,3.152,512
1379,3.159,512
1383,3.296,512
1395,3.004,512
1411,3.152,512
1461,3.435,512
1483,3.007,512
1485,3.097,512
1500,3.207,512
1517,3.143,512
1533,3.364,512
1547,3.366,512
1584,3.292,512
1628,3.821,512
1646,3.138,512
1648,3.555,512
1651,3.022,512
1653,3.074,512
1663,3.379,512
1668,3.154,512
1684,3.081,512
1705,3.144,512
1745,3.288,512
1754,3.029,512
1783,2.967,512
1787,4.046,512
1810,3.192,512
1821,3.06,512
1827,3.141,512
1840,3.004,512
1858,3.191,512
1861,3.291,512
1897,3.088,512
1900,3.282,512
1901,3.207,512
1914,2.95,512
1922,3.139,512
1937,3.119,512
1944,2.977,512
1981,3.813,512
2006,3.093,512
2033,3.51,512
2036,3.384,512
2071,3.105,512
2102,3.414,512
2109,3.279,512
2130,3.091,512
2132,3.412,512
2174,3.01,512
2195,3.289,512
2217,3.295,512
2222,3.156,512
2224,3.594,512
2272,3.213,512
2288,3.147,512
2303,4.191,512
2307,2.963,512
2312,3.182,512
2320,3.421,512
2332,3.076,512
2432,2.952,512
2479,3.454,512
2494,3.357,512
2514,3.16,512
2522,3.391,512
2549,3.055,512
2550,3.129,512
2669,3.407,512
2675,3.118,512
2687,3.107,512
2691,3.212,512
2698,2.962,512
2709,5.343,512
2726,3.162,512
2731,3.211,512
2737,3.083,512
2773,3.136,512
2780,3.024,512
2797,3.311,512
2799,3.041,512
2809,3.287,512
2822,3.085,512
2829,4.024,512
2881,3.092,512
2894,3.101,512
2907,3.434,512
2908,3.09,512
2950,3.092,512
2967,3.091,512
2983,4.055,512
2986,3.103,512
3016,3.432,512
3050,3.103,512
3082,4.359,512
3085,3.023,512
3095,3.028,512
3098,3.294,512
3099,3.307,512
3117,3.3,512
3157,3.206,512
3170,3.019,512
3186,3.595,512
3220,3.187,512
3233,3.19,512
3248,3.148,512
3264,3.284,512
3297,3.335,512
3320,3.149,512
3327,3.138,512
3330,3.127,512
3331,3.179,512
3372,3.144,512
